Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Refugee population by country or territory of asylum,SM.POP.REFG,Afghanistan,AFG,50,..,42,37,37,6434,3009,16187,16863,300423,257554,..
Refugee population by country or territory of asylum,SM.POP.REFG,Albania,ALB,..,523,77,65,70,76,82,86,93,104,104,..
Refugee population by country or territory of asylum,SM.POP.REFG,Algeria,DZA,169110,169656,94137,94093,94137,94144,94148,94133,94150,94128,94182,..
Refugee population by country or territory of asylum,SM.POP.REFG,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Angola,AGO,11557,12086,12069,12710,14734,15155,16223,23413,23783,15474,15555,..
Refugee population by country or territory of asylum,SM.POP.REFG,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,0,15,..
Refugee population by country or territory of asylum,SM.POP.REFG,Argentina,ARG,11735,2396,3263,2845,3230,3276,3361,3488,3362,3498,3207,..
Refugee population by country or territory of asylum,SM.POP.REFG,Armenia,ARM,..,280591,4566,3953,3607,3296,2918,2854,13732,17640,19319,..
Refugee population by country or territory of asylum,SM.POP.REFG,Aruba,ABW,..,..,..,..,..,..,..,..,1,0,2,..
Refugee population by country or territory of asylum,SM.POP.REFG,Australia,AUS,97915,60246,22164,20919,22548,21805,23434,30083,34503,35582,36917,..
Refugee population by country or territory of asylum,SM.POP.REFG,Austria,AUT,34938,15492,30773,37557,38906,42630,47073,51730,55598,60747,72216,..
Refugee population by country or territory of asylum,SM.POP.REFG,Azerbaijan,AZE,..,287,2352,2061,1642,1891,1730,1468,1380,1299,1278,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Bahamas, The",BHS,..,100,..,..,..,28,28,37,15,13,8,..
Refugee population by country or territory of asylum,SM.POP.REFG,Bahrain,BHR,1780,1,..,48,139,165,199,289,294,311,247,..
Refugee population by country or territory of asylum,SM.POP.REFG,Bangladesh,BGD,145,21627,27573,28389,228586,229253,229669,230697,231145,232472,231958,..
Refugee population by country or territory of asylum,SM.POP.REFG,Barbados,BRB,..,..,..,..,..,..,..,..,1,1,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,Belarus,BLR,..,458,649,609,580,589,595,576,604,925,1809,..
Refugee population by country or territory of asylum,SM.POP.REFG,Belgium,BEL,25911,18832,17575,17026,15545,17892,22402,22024,25633,29179,35314,..
Refugee population by country or territory of asylum,SM.POP.REFG,Belize,BLZ,30657,1250,358,277,230,134,78,28,21,10,35,..
Refugee population by country or territory of asylum,SM.POP.REFG,Benin,BEN,456,4296,7621,6933,7205,7139,7217,4966,194,415,530,..
Refugee population by country or territory of asylum,SM.POP.REFG,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Bolivia,BOL,200,351,632,664,679,695,716,733,748,763,775,..
Refugee population by country or territory of asylum,SM.POP.REFG,Bosnia and Herzegovina,BIH,..,38152,7367,7257,7132,7016,6933,6903,6926,6890,6798,..
Refugee population by country or territory of asylum,SM.POP.REFG,Botswana,BWA,1179,3551,2465,3019,3022,2986,3312,2785,2773,2645,2130,..
Refugee population by country or territory of asylum,SM.POP.REFG,Brazil,BRA,5335,2722,20783,3852,4232,4357,4477,4689,5196,7490,8707,..
Refugee population by country or territory of asylum,SM.POP.REFG,British Virgin Islands,VGB,..,..,..,..,..,2,2,2,..,0,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,0,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,Bulgaria,BGR,..,1474,4836,5129,5393,5530,5688,2288,4320,11046,16557,..
Refugee population by country or territory of asylum,SM.POP.REFG,Burkina Faso,BFA,350,696,535,557,543,531,546,39306,29234,31894,34017,..
Refugee population by country or territory of asylum,SM.POP.REFG,Burundi,BDI,268403,27136,24483,21093,24967,29365,35659,41813,45490,52936,53363,..
Refugee population by country or territory of asylum,SM.POP.REFG,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,0,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,Cambodia,KHM,..,34,179,164,135,129,64,77,68,63,76,..
Refugee population by country or territory of asylum,SM.POP.REFG,Cameroon,CMR,49876,43680,60137,81037,99957,104275,100373,98969,114753,264126,342973,..
Refugee population by country or territory of asylum,SM.POP.REFG,Canada,CAN,154761,126991,175741,173651,169434,165549,164883,163756,160349,149163,135888,..
Refugee population by country or territory of asylum,SM.POP.REFG,Cayman Islands,CYM,..,..,..,..,1,1,3,3,6,6,12,..
Refugee population by country or territory of asylum,SM.POP.REFG,Central African Republic,CAF,4284,55661,7535,7429,27047,21574,16730,14014,14322,7694,7330,..
Refugee population by country or territory of asylum,SM.POP.REFG,Chad,TCD,..,17692,294017,330510,338495,347939,366494,373695,434479,452897,369540,..
Refugee population by country or territory of asylum,SM.POP.REFG,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
